@relation segment

@attribute original numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute class {Cells,Background}

@data
138,155.467041,799.001892,-1088,272508,-934.937927,-1241.062134,1.51186,110931017728,93712,136.755859,153.875,775.968933,-1058.48999,259001.5,-913.235901,-1203.744019,1.514087,94556209152,84394.96875,129.533768,139.251404,641.53064,-886.878357,187465.53125,-791.10376,-982.652954,1.530117,28859498496,36691.09375,7.222092,116.344109,82.858116,401.710541,-566.712524,79875.617188,-546.337585,-587.087463,-1.412069,533309568,1660.556885,20.411751,13.189659,95.210075,26.245586,118.773834,-165.821655,6570.744141,-148.40152,-183.241791,-0.564764,33376842,1213.843628,41.545784,34.323692,21.134033,Cells
137,143.003494,729.372314,-956,169344,-712.812805,-1199.187134,-1.057724,216200708096,236560,136.051682,139.963577,712.633972,-935.987793,163692.734375,-700.773926,-1171.20166,-1.053967,193876934656,221302.21875,130.739243,120.131729,611.634644,-816.741455,133212.71875,-633.564148,-999.918762,-1.022745,89530826752,134215.71875,5.312439,118.70903,65.677368,398.888794,-549.869385,68032.71875,-462.942017,-636.796753,-0.898146,9138860032,30225.460938,17.342651,12.030212,97.647148,15.659067,124.809402,-172.000229,6653.590332,-144.75267,-199.247787,-0.663993,87856320,2969.716309,38.404533,33.092094,21.061882,Cells
123,141.428421,466.557617,-436,-75040,-85.908585,-786.091431,-0.796825,93195706368,490256,123.137024,137.276245,461.498077,-442.086182,-66356.515625,-102.65052,-781.521851,-0.79515,90071793664,460866.28125,122.528343,113.02211,427.862091,-464.596863,-21175.179688,-190.484222,-738.709534,-0.782187,64874000384,300550.96875,0.608681,115.690552,60.074783,318.95752,-399.715332,18268.533203,-252.492538,-546.93811,-0.740645,13851976704,86698.210938,7.446472,6.837791,98.737221,5.024731,118.640572,-158.780991,4939.154785,-121.852737,-195.709244,-0.643997,137522752,5454.783691,24.399803,23.791122,16.953331,Cells
106,195.478897,484.416138,-330,-74584,-10.924774,-649.075256,0.250049,44348002304,407236,106.549072,190.773071,486.224365,-352.353699,-66464.9375,-40.098644,-664.608765,0.239231,48421318656,390012.875,108.235176,162.051636,485.607056,-450.612122,-20673.414063,-183.336548,-717.887695,0.176995,58020876288,285744.9375,-1.686104,102.185829,103.387291,329.608459,-371.115326,14217.401367,-228.938522,-513.292114,0.09015,11136155648,80856.976563,4.363243,6.049347,87.576447,38.685966,96.040802,-123.878555,3003.729004,-95.021233,-152.735886,-0.190028,51116880,3330.980469,18.972626,20.65873,14.609383,Cells
132,191.002625,807.182739,-1124,302388,-1008,-1240,0.404892,67999948800,53824,131.836563,184.162872,802.302368,-1114.965332,296494.21875,-995.413086,-1234.517578,0.369014,71071948800,57170.960938,129.374542,145.226974,748.822937,-1027.150513,245545.4375,-892.190918,-1162.110107,0.21667,76866265088,72856.382813,2.462021,114.990494,85.584641,467.233826,-639.321533,95160.757813,-555.522705,-723.120361,0.06072,11480862720,28088.972656,16.846069,14.384048,92.179863,32.133671,120.496201,-165.164383,6266.811035,-141.64827,-188.680496,-0.347071,60342544,2212.029053,39.6567,37.194679,22.810631,Cells
150,105.688217,1155.53064,-1630,660560,-1569.460815,-1690.539185,-1.375942,38950154240,14660,149.227371,101.873329,1132.983765,-1599.742676,637553.1875,-1552.403198,-1647.082153,-1.347447,22940772352,8964.12207,143.088562,79.641853,979.685364,-1384.60083,478603.21875,-1358.587769,-1410.613892,-0.226626,5189115392,2706.725098,6.138809,123.41584,45.889416,568.619385,-799.615173,157877.296875,-755.243958,-843.986389,-0.201152,5035298304,7875.228027,25.811531,19.672722,95.684113,22.510092,137.260864,-190.600906,8546.900391,-167.464874,-213.736938,-0.516009,77783536,2141.104004,53.543259,47.404449,27.731728,Cells
149,93.861603,1037.016846,-1460,523296,-1362,-1558,-0.785398,81887543296,38416,148.385681,90.438263,1020.385925,-1436.724609,506980.8125,-1341.521729,-1531.92749,-0.754305,74835484672,36254.382813,143.141174,66.947853,902.596863,-1269.721069,395827.03125,-1184.745361,-1354.696777,-0.560545,46565711872,28883.486328,5.244507,125.04496,21.605083,549.631714,-770.554016,144676.453125,-709.219543,-831.888489,-0.449622,8934610944,15047.676758,23.340721,18.096214,97.759705,12.629252,139.951157,-193.82135,8691.743164,-167.365051,-220.277649,-0.588515,105177184,2799.743896,50.625977,45.38147,27.285255,Cells
140,145.773804,645.585022,-848,140504,-649.828369,-1046.171631,-0.414115,112962609152,157088,138.626984,140.898468,639.663269,-841.177979,139102.5,-646.77478,-1035.581177,-0.410045,106965213184,151170.40625,132.00943,110.527405,599.118469,-794.850586,129601.164063,-626.48877,-963.212402,-0.383337,71633854464,113382.84375,6.617554,120.211555,51.570705,422.789948,-573.664246,72604.828125,-475.339081,-671.98938,-0.408003,12726380544,38671.351563,18.415428,11.797874,98.353546,9.947425,127.877922,-174.557861,6670.155273,-143.777084,-205.338638,-0.566639,115477648,3789.824463,40.273438,33.655884,21.858009,Cells
118,194.32962,872.446533,-762,-99104,-267.76828,-1256.231689,-0.136232,567324049408,977060,116.804497,189.698792,832.714966,-734.310669,-85573.21875,-264.868134,-1203.753174,-0.140485,475318288384,881505.125,110.547501,161.383179,613.97699,-582.39386,-25138.296875,-250.830978,-913.956726,-0.17191,149150728192,439735.78125,6.256996,101.760597,102.850952,348.346375,-385.446899,11351.362305,-224.851227,-546.042542,-0.216006,15326986240,103163.875,15.0439,8.786903,86.860268,38.257366,97.613029,-124.237167,2660.556885,-89.622696,-158.851639,-0.387013,73973896,4792.646484,29.944229,23.687233,14.90033,Cells
146,173.487747,1255.710205,-1652,569876,-1316.738892,-1987.261108,-0.170308,1227005100032,449600,143.914124,168.951279,1200.473633,-1582.609863,525843,-1265.87561,-1899.344116,-0.175276,1005073203200,401282.25,132.087677,141.55603,893.70105,-1194.363525,309891.46875,-978.181641,-1410.54541,-0.21356,266668490752,186938.453125,11.826447,114.270294,87.6278,485.274414,-657.487183,96884.890625,-551.71637,-763.257996,-0.273592,19344889856,44749.859375,29.643829,17.817383,91.161255,33.074169,120.251617,-163.747452,5889.313965,-135.216888,-192.278015,-0.498504,87303128,3255.972412,52.752869,40.926422,23.109039,Cells
162,75.166481,1504.097046,-2096,1065004,-1913.51709,-2278.48291,-0.082574,585176383488,133200,159.442398,76.057663,1446.161255,-2016.868652,987727.75,-1845.953491,-2187.783691,-0.089252,475309277184,116847.9375,145.139114,77.267715,1107.019775,-1550.622803,588967.0625,-1440.437622,-1660.807983,-0.145872,116766621696,48563.097656,14.303284,122.362068,55.816109,585.905151,-821.394653,165209.609375,-762.549988,-880.239319,-0.281292,9344963584,13850.768555,37.08033,22.777046,94.33226,26.364256,134.789047,-187.148529,8176.916992,-163.081421,-211.215637,-0.599335,81148528,2316.902832,65.110138,50.806854,28.029808,Cells
154,85.146935,1321.321655,-1826,792452,-1623.226685,-2028.773315,0.147618,548381720576,164468,152.742691,83.49881,1280.312744,-1771.617188,748151.0625,-1580.55249,-1962.681885,0.148445,458311565312,146022.921875,144.123642,73.097694,1024.529419,-1428.348389,494635.28125,-1304.213623,-1552.483154,0.144281,125752057856,61637.753906,8.619049,123.629868,45.962925,567.455688,-796.322754,156053.5,-746.533447,-846.112061,-0.041359,6287968768,9915.899414,29.112823,20.493774,96.05088,21.950077,134.739487,-187.996765,8394.904297,-167.001724,-208.991806,-0.627446,62315212,1763.166504,56.691811,48.072762,27.578987,Cells
